"model-run","timestamp","t_2m","t_2m_unit","aswdir_s","aswdir_s_unit","aswdifd_s","aswdifd_s_unit","ws_10m","ws_10m_unit"
"03","2020-04-17 05:30:00","","",18.28369140625,"W/m²",40.32185360789299,"W/m²","",""
"03","2020-04-17 05:45:00","","",35.0634765625,"W/m²",53.74060009419918,"W/m²","",""
"03","2020-04-17 06:00:00",282.5936279296875,"K",56.5087890625,"W/m²",65.94836466014385,"W/m²",1.7624589089513152,"m/s"
"03","2020-04-17 06:15:00","","",80.75390625000071,"W/m²",77.59244620800018,"W/m²","",""
"03","2020-04-17 06:30:00","","",108.38281250111041,"W/m²",87.65349638462067,"W/m²","",""
"03","2020-04-17 06:45:00","","",111.47851562685378,"W/m²",113.12711572647095,"W/m²","",""
"03","2020-04-17 07:00:00",284.2149963378906,"K",99.52929694440255,"W/m²",145.20752346515656,"W/m²",2.28098838701835,"m/s"
"03","2020-04-17 07:15:00","","",155.04883570061511,"W/m²",140.8788821697235,"W/m²","",""
"03","2020-04-17 07:30:00","","",200.25589491600948,"W/m²",140.33324313163757,"W/m²","",""
"03","2020-04-17 07:45:00","","",281.3164347503301,"W/m²",116.8910801410675,"W/m²","",""
"03","2020-04-17 08:00:00",286.146728515625,"K",315.9102541616674,"W/m²",121.32585740089417,"W/m²",3.479852024768497,"m/s"
"03","2020-04-17 08:15:00","","",347.0118904369428,"W/m²",127.23291492462158,"W/m²","",""
"03","2020-04-17 08:30:00","","",388.27757236268917,"W/m²",125.05253219604492,"W/m²","",""
"03","2020-04-17 08:45:00","","",419.21895589249107,"W/m²",128.1123080253601,"W/m²","",""
"03","2020-04-17 09:00:00",288.3065490722656,"K",449.30542970447647,"W/m²",130.43129205703735,"W/m²",4.147096960273945,"m/s"
"03","2020-04-17 09:15:00","","",476.7547468812189,"W/m²",132.97920083999634,"W/m²","",""
"03","2020-04-17 09:30:00","","",501.0982554030708,"W/m²",135.76047468185425,"W/m²","",""
"03","2020-04-17 09:45:00","","",521.6567646319745,"W/m²",139.1626033782959,"W/m²","",""
"03","2020-04-17 10:00:00",290.4060974121094,"K",497.4612639665862,"W/m²",170.42606163024902,"W/m²",3.542208967746568,"m/s"
"03","2020-04-17 10:15:00","","",492.8046945060779,"W/m²",186.58962106704712,"W/m²","",""
"03","2020-04-17 10:30:00","","",565.6328276498533,"W/m²",149.23217725753784,"W/m²","",""
"03","2020-04-17 10:45:00","","",578.2031567669763,"W/m²",149.9041452407837,"W/m²","",""
"03","2020-04-17 11:00:00",291.8679504394531,"K",587.828194633505,"W/m²",150.22105312347412,"W/m²",3.4277386664474943,"m/s"
"03","2020-04-17 11:15:00","","",586.0392350793112,"W/m²",156.33595275878906,"W/m²","",""
"03","2020-04-17 11:30:00","","",591.80562259999,"W/m²",154.73614501953125,"W/m²","",""
"03","2020-04-17 11:45:00","","",593.4327117692452,"W/m²",153.66577053070068,"W/m²","",""
"03","2020-04-17 12:00:00",293.20965576171875,"K",590.0396114990881,"W/m²",154.1113977432251,"W/m²",3.125003461485732,"m/s"
"03","2020-04-17 12:15:00","","",582.4145262046944,"W/m²",154.42998790740967,"W/m²","",""
"03","2020-04-17 12:30:00","","",539.1333036979184,"W/m²",177.15951442718506,"W/m²","",""
"03","2020-04-17 12:45:00","","",504.1957577164285,"W/m²",192.04269695281982,"W/m²","",""
"03","2020-04-17 13:00:00",294.0626525878906,"K",541.4455397449207,"W/m²",156.00703716278076,"W/m²",3.7650235055840753,"m/s"
"03","2020-04-17 13:15:00","","",452.1957201226035,"W/m²",202.33611679077148,"W/m²","",""
"03","2020-04-17 13:30:00","","",480.8362456823223,"W/m²",168.14529037475586,"W/m²","",""
"03","2020-04-17 13:45:00","","",477.3833230184391,"W/m²",152.81144523620605,"W/m²","",""
"03","2020-04-17 14:00:00",294.3438720703125,"K",447.992566747533,"W/m²",153.78315925598145,"W/m²",3.454479216682194,"m/s"
"03","2020-04-17 14:15:00","","",412.8828757433221,"W/m²",154.62424182891846,"W/m²","",""
"03","2020-04-17 14:30:00","","",336.91450184583664,"W/m²",178.46360683441162,"W/m²","",""
"03","2020-04-17 14:45:00","","",264.87517760825034,"W/m²",198.6178035736084,"W/m²","",""
"03","2020-04-17 15:00:00",294.1468505859375,"K",138.6722197509081,"W/m²",244.92972373962402,"W/m²",3.328807996332424,"m/s"
"03","2020-04-17 15:15:00","","",91.22679649648568,"W/m²",240.22003650665283,"W/m²","",""
"03","2020-04-17 15:30:00","","",69.05488533037611,"W/m²",224.8110227584839,"W/m²","",""
"03","2020-04-17 15:45:00","","",46.08612258950662,"W/m²",206.69684314727783,"W/m²","",""
"03","2020-04-17 16:00:00",293.30853271484375,"K",78.78926730455623,"W/m²",169.83853816986084,"W/m²",1.966731315138845,"m/s"
"03","2020-04-17 16:15:00","","",75.85954700486114,"W/m²",151.740704536438,"W/m²","",""
"03","2020-04-17 16:30:00","","",64.37513703171784,"W/m²",134.40700435638428,"W/m²","",""
"03","2020-04-17 16:45:00","","",68.60174182095254,"W/m²",108.63931274414062,"W/m²","",""
"03","2020-04-17 17:00:00",292.0076904296875,"K",29.757903401479126,"W/m²",101.56099700927734,"W/m²",2.3952921221209182,"m/s"
"03","2020-04-17 17:15:00","","",23.53912505702426,"W/m²",82.18670272827148,"W/m²","",""
"03","2020-04-17 17:30:00","","",14.28910099496651,"W/m²",65.3372917175293,"W/m²","",""
"03","2020-04-17 17:45:00","","",3.171877864210142,"W/m²",48.35895538330078,"W/m²","",""
"03","2020-04-17 18:00:00",290.55438232421875,"K",0.8437569892985951,"W/m²",30.660911560058594,"W/m²",2.088583564232273,"m/s"
"03","2020-04-17 18:15:00","","",0.273438548903084,"W/m²",14.233739852905273,"W/m²","",""
"03","2020-04-17 18:30:00","","",0.101562584166725,"W/m²",1.372861862182617,"W/m²","",""
"03","2020-04-17 18:45:00","","",-0.16406241813053601,"W/m²",0.133913993835449,"W/m²","",""
"03","2020-04-17 19:00:00",289.2790832519531,"K",0.44531257901754606,"W/m²",0.14933872222900302,"W/m²",2.138107955299567,"m/s"
"03","2020-04-17 19:15:00","","",-0.070312424331075,"W/m²",0.06322383880615201,"W/m²","",""
"03","2020-04-17 19:30:00","","",0.257812575555096,"W/m²",-0.13990116119384702,"W/m²","",""
"03","2020-04-17 19:45:00","","",-0.10937492838957201,"W/m²",0.047337532043457003,"W/m²","",""
"03","2020-04-17 20:00:00",287.94818115234375,"K",0.35937506960084004,"W/m²",0.109711647033691,"W/m²",2.110324579003683,"m/s"
"03","2020-04-17 20:15:00","","",0.07812506907723,"W/m²",0.031580924987792004,"W/m²","",""
"03","2020-04-17 20:30:00","","",0.07812506573274701,"W/m²",0.07041835784912101,"W/m²","",""
"03","2020-04-17 20:45:00","","",-0.195312435608357,"W/m²",-0.05080223083496,"W/m²","",""
